标题,摘要,正文
朱婷重返排超首秀贡献5分 天津女排3-0河南夺开门红,2019-2020赛季中国女子排球超级联赛第一阶段第二轮，天津女排3：0战胜河南女排，取得开门红。,"['腾讯体育11月5日讯 2019-2020赛季中国女子排球超级联赛第一阶段第二轮，天津女排主场以3-0（25-17、25-18、25-19）击败河南女排，取得开门红', '朱婷重返排超首秀得到5分', '比赛焦点1、今年排超取消技术暂停，每队每局各有2次鹰眼挑战机会和2次暂停机会', '2、朱婷迎来重返排超首秀，面对老东家河南女排打了前两局，得到5分', '3、天津女排以3-0赢得开门红，但朱婷第三局下场后球队一传漏洞不断，要想争冠这一环节还需加强', '精彩回放首局比赛，王媛媛快攻拿下本场比赛第一分，朱婷一传失误，李盈莹进攻失误，天津女排1-3落后', '胡克尔二号位强攻打中，李盈莹平拉开得手，天津女排打出一波小高潮，以5-4反超', '姚迪拦网建功，朱婷四号位反击得手，天津女排以8-6领先', '河南队虽然整体实力处于下风，但开局紧咬住比分', '王媛媛短平快打中，李盈莹四号位反击斜线命中，朱婷后排防守起球，胡克尔二号位下球，毛钧怡处理球界外，天津在朱婷发球轮连得三分，以14-9拉开比分', '胡克尔二号位被拦死，李盈莹巧打得分，天津女排16-12领跑', '李伟伟快球下网，李盈莹反击小斜线得手，胡克尔发球直接得分，李雅楠反击背快打成，天津女排20-12扩大战果', '李盈莹反击界外，河南队艰难渡轮', '李雅楠吊球得分，王媛媛拦网建功，帮助球队24-15夺得局点，胡克尔与队友配合拦网得分，天津女排以25-17拔得头筹', '第二局比赛，天津女排开局0-2落后，河南队配合失误，李盈莹反击打中，朱婷的发球轮连续建功，帮助球队以4-2反超', '胡克尔二号位吊球得手，随后拦网得分，3-7落后焦帅请求暂停，李盈莹四号位扣中，天津女排以8-5占先', '李盈莹发球破攻，毛钧怡调整进攻出界，天津女排打出5-1的冲击波，以13-6扩大战果', '朱婷网口扣杀得手，李雅楠发球失误，张梓涵发球送失误大礼，天津队有效拦网，胡克尔二号位反击打成，天津女排以16-8遥遥领先', '王媛媛三号位短平快被拦死，朱婷高点进攻打中，天津女排以17-10继续领跑', '胡克尔调整强攻得分，李盈莹四号位平拉开打中，20-12双方多回合胶着，朱婷后攻解决问题，21-13后朱婷再次被于鋆炜换下，天津一传波动连续丢分，河南触网失误，天津24-18拿到局点，于鋆炜反击得手，天津女排以25-18再下一城，局分2-0领先', '第三局比赛，天津女排变阵，李盈莹和于鋆炜搭档主攻，胡克尔出任接应，朱婷没有在场上，天津一传不太稳定，进攻不够流畅，一度以5-7落后，李盈莹暴露性强攻得手，韩雯雅大斜线扣中，河南女排以8-7暂时领先', '随后的比赛，两支队伍打得都不够紧凑，攻传配合都有一些生疏，比分交替上升，王媛媛反击快攻打中，天津女排以13-11领先', '王媛媛的快攻屡试不爽，于鋆炜反击打手出界，天津女排以16-14继续领跑', '接下来，王媛媛发球破攻，李雅楠探头球得手，天津女排以18-14逼迫焦帅请求暂停', '李盈莹和胡克尔的进攻接连打成，22-15后李盈莹轻吊得分，天津追至19-23，陈友泉请求暂停，胡克尔后攻打中，于鋆炜四号位打手出界，天津女排25-19胜出，局分3-0击败河南女排，取得开门红', '技术统计天津女排李盈莹得到11分、胡克尔8分、王媛媛和李雅楠6分、朱婷打了前两局得到5分', '河南队韩雯雅7分、李伟伟得到5分、毛钧怡和翟嗣琪都得到4分', '首发阵容天津女排的首发阵容为主攻朱婷、李盈莹，副攻王媛媛、李雅楠，接应胡克尔，二传姚迪，双自由人刘立雯和孟子旋', '河南女排首发为主攻翟嗣琪、韩雯雅，副攻李伟伟、李培佳，接应毛钧怡，二传张梓涵，自由人毛雅静']"
新赛季排超变化：赛期缩水为奥运备战让路 朱婷加盟天津力争夺冠,2019-2020赛季中国女排超级联赛赛期缩水为奥运备战让路，朱婷加盟天津力争夺冠，联赛冠军最终花落谁手，值得拭目以待。,"['朱婷加盟天津队继CBA开打之后，2019~2020赛季中国女排超级联赛于11月2日鸣锣开张', '曾是中国女排“重炮手”、31岁的老将王一梅首发出战，得到18分，帮助辽宁女排3比1逆转云南女排，赢得开门红', '与16年前首次踏上女排联赛相比，王一梅如今多了一重身份——辽宁女排总经理', '初任球队总经理，王一梅就破天荒引进了3名外援，为辽宁队带来新的变化和气象', '说到变化，本赛季的中国女排超级联赛也不遑多让', '从赛制到赛期，从争冠格局到大牌外援驾到，女排超级联赛再次给人耳目一新之感', '联赛缩水为奥运备战让路本赛季的中国女排超级联赛始于11月2日，预计在2020年1月21日收官', '与上赛季相比，赛期缩短了将近两个月', '此外，本赛季的赛制变化也很大', '上赛季，女排超级联赛第一阶段采用赛会制的形式进行，7天6战决出8强', '本赛季第一阶段比赛则取消了赛会制，再次回到主客场制', '14支球队分为4个组，各组前两名晋级8强', '第二阶段排位赛的赛制也由以往的单循环赛改为两组主客场双循环赛', '半决赛采用3场2胜制，决赛仍实行5场3胜制', '如此算来，本赛季的冠军最多出战18场，而成绩最差的只有11场比赛可打', '联赛之所以大幅缩水，是因为中国排协意在为中国女排集训备战2020年东京奥运会预留出更多时间', '里约奥运周期，中国女排在三大赛上取得了2冠1亚，并在里约奥运会上登顶', '东京奥运周期，中国女排已经获得2018年世锦赛季军、2019年世界杯冠军', '2020年东京奥运会无疑是中国女排本周期最看重的比赛', '东京奥运会将于2020年7月24日开幕，满打满算，缩短联赛后，留给中国女排集训的时间有6个月', '这能够为中国女排调整状态、研究意大利队、塞尔维亚队、美国队等强敌预留更多时间', '6队13名外援创历史11月2日，上海女排坐镇主场，以3比0击败河北女排，拿下首场胜利', '此役，上海女排两名外援发挥不俗', '德国人利普曼斩获全场最高的19分，美国人拉尔森得到15分，两人位列上海队得分榜前两位', '利普曼是何人', '她是德国女排当家球星', '中国球迷对拉尔森则更加熟悉，她是美国女排的第一主攻', '她们的到来让上海女排的进攻火力提升了好几个档次', '说到外援，自恒大女排2010~2011赛季首次引进外援以来，外援已经成为了各支球队快速提升实力的不二选择', '据记者统计，本赛季有北京队、天津队、辽宁队、上海队、广东队、浙江队共6支球队引进了13名外援', '其中，北京女排和辽宁女排均引入了3名外援，引援力度最大', '除了人数众多，外援实力也堪称历史最强', '上赛季，上海女排引入了韩国球星金软景，她被誉为女排联赛史上最大牌外援', '上赛季结束，金软景重返土耳其女排联赛', '美国主攻拉尔森、俄罗斯接应科舍列娃、美国接应胡尔克的实力和名气不在金软景之下，她们的到来将在一定程度上提高联赛的曝光度，增加比赛的观赏性', '争冠格局略有变化“新赛季的目标是保四争冠', '”北京女排主教练张建章给自己和球队定了调', '上赛季，不被看好的北京女排在二次转会市场上引入了国手丁霞和王梦洁，实力大涨', '决赛中，北京女排击败老牌劲旅天津女排，首夺联赛冠军', '然而，本赛季的女排超级联赛取消了二次转会政策，虽然北京队成功续约鲁尔克和迪克森，并引入了第3名外援——美国主攻巴奇，但整体实力较之上赛季仍然有所回落', '因此，张建章调低了目标', '天津队则不降反升', '除了引进外援胡尔克，天津女排休赛期成功牵手朱婷', '朱婷是当今世界第一主攻，攻防俱佳，加之队内已有姚迪、李盈盈等多名国手，天津女排因而被视为冠军的最大热门', '当然，江苏队也不容忽视', '虽然没有引进外援，但江苏女排本土球员实力强', '主攻张常宁、接应龚翔宇、二传刁琳宇、自由人倪非凡等人都在国家队效力，更兼主教练蔡斌有“小诸葛”之智，江苏队同样是冠军的有力争夺者', '至于四强席位，辽宁女排、恒大女排(引进两名外援，以及从福建队引进郑益昕、林莉两名国手)同样虎视眈眈', '冠军最终花落谁手，值得拭目以待']"
天津女排主场换地胶添球童音效劲爆 球迷服务站首度现身,2019-2020赛季中国女排超级联赛11月2日揭幕，天津女排迎来新赛季首秀，主场换地胶添球童音效劲爆，球迷服务站首度现身，更多惊喜等着您。,"['本报讯（记者谢晨）2019-2020赛季中国女排超级联赛11月2日揭幕，天津渤海银行女排5日晚将在主场迎来新赛季首秀', '除了阵容实力进一步提升以外，天津队主场——天津市人民体育馆的软硬件设施也全面升级，力争营造最佳的赛场氛围', '首先，排超天津赛区更换了全新的比赛地胶，由原来的两色地胶升级为符合国际标准的三色地胶', '观众观赛时，能更直观地看清区域划分，从而提升观赛体验', '其次，为回报球迷的支持和鼓励，天津赛区首次设立了球迷服务站，地点位于市人民体育馆外，是集排球培训、排球场地预约、纪念品售卖、迷你博物馆以及球迷留言墙为一体的多功能服务站', '球迷朋友们可以前往咨询排球相关事宜，亲身体验排球的乐趣', '参观天津女排历史、物件展览，更深入了解天津女排', '为支持的队员留言应援，做天津女排最坚实的后盾', '再次，天津赛区本赛季聘请了国际顶级DJ团队，强劲的现场音效将营造出不一样的主场氛围', '天津队主帅陈友泉以及很多队员还录制了出场特效视频', '在出场仪式环节，伴随现场DJ的介绍与劲爆的音乐，对应出场球员的特效视频也会在现场大屏幕上播出，引爆现场气氛，激发现场球迷为天津女排加油助威的热情', '第四，天津赛区本赛季正式将“牵手球童”加入队伍出场仪式环节，每一名牵手球童都是天津市各业训基地和小学的排球运动员', '此外，天津赛区本赛季还在现场为球迷们准备了难度系数五颗星的摸高机', '李盈莹的扣球高度是3.19米，如果您也可以达到这一高度，那么摸高机不仅会为您亮起黄灯，更有神秘惊喜等着您']"
留洋新征程！王思敏迎来意甲首秀 出色表现获一致好评,意大利女排甲级联赛，中国选手王思敏迎来首秀，助力布斯托阿西奇奥女排3-1险胜诺瓦拉女排。,"['北京10月31日凌晨，意大利女排甲级联赛迎来一场焦点之战——中国选手王思敏加盟的布斯托阿西奇奥女排客场迎战上届意甲冠军诺瓦拉女排', '双方激战4局之后，诺瓦拉以3-1险胜布斯托阿西奇奥，四局比分为28-26, 31-29, 23-25, 25-22', '由于队内自由人莱奥纳迪手指受伤，王思敏迎来了自己的意甲首秀', '本场比赛，她首发登场，全场共接了40个一传，基本到位率50%，完全到位率43%，凭借出色的表现获得了队内和球迷的广泛认可', '和队友之间精妙的配合，出色的技术能力，让我们看到了这位年轻球员身上的巨大潜力', '在留洋之初王思敏给自己定下了一个目标：“我去意大利打排球，最大的目标是成为真正的职业运动员在意大利联赛中锻炼、提升自己', '”好的开始，往往是成功的一半，相信未来她能不断推进实现自己的目标', '谈及在意甲联赛首次登场的感受，王思敏坦言：意大利联赛云集了众多世界级的球星，意甲的比赛是进攻速度最快的比赛', '我自己的特点是下肢力量好，速度可以拉的起来，但刚开始投入到室内赛的训练时有点速度跟不上，非常感谢体能教练和技术教练对我的帮助，让我在力量速度上都有了很大的提升', '主力自由人的意外受伤，让所有人措手不及，这个赛季我给自己的定位是学习，做好替补，这个突如其来的变化让我很紧张，但我会把握住机会，在实战中不断提升自己', '对于自己的意甲首秀，王思敏如此评价道：“很遗憾我们没能在客场获得胜利', '一传方面我接了很多球，但在两人结合部位置上存在问题，不明确不够果断导致失误，但教练和队长给予我非常大支持鼓励，认为我完成的非常出色', '我希望在后面的比赛中我们可以赢得更多的胜利，感谢一直关心我的球迷，希望自己在以后越来越强大', '”布斯托·阿西奇奥俱乐部（Unet E-Work Busto Arsizio）是一家位于伦巴第大区的意大利女排最高级别A1联赛的俱乐部', '曾赢得3次欧联杯冠军，及多次意大利超级杯、A1联赛、联盟杯赛冠军', '加盟意大利最受欢迎的排球俱乐部，王思敏势必将会受到越来越多的关注', '布斯托在社交媒体上是最受欢迎的意甲女排俱乐部本月中旬，王思敏正式转会加盟意甲劲旅布斯托', '仅过半个月，她就迎来自己的意甲首秀，期待着她能在联赛中越走越远']"
《中国女排》发布新海报 巩俐饰演郎平落泪形象首度曝光,电影《中国女排》发布新海报，巩俐饰演郎平落泪形象首度曝光，新片将于2020年大年初一公映，为我们讲述几代女排的热血故事。,"['腾讯体育10月31日讯 电影《中国女排》今日发布“态度”版海报，巩俐饰演的郎平落泪形象首度曝光', '这组海报在凸显郎平霸气“王者”风范的同时，也展现了郎平“铁榔头”名号背后柔情的一面', '“中国女排，流血不流泪，掉皮不掉队”的文字配上#巩俐哭了#的画面，铁血与柔情的反差跃然而出，看到#中国女排海报#，也令人甚是好奇郎平落泪背后的故事', '电影《中国女排》由导演陈可辛执导、巩俐主演，并将于2020年大年初一全国上映', '此前，电影发布“千锤百炼”版海报', '每一次山呼海啸的胜利都来自背后的千锤百炼', '即使伤痕累累，依然阔步前行，这就是中国女排', '《中国女排》由中国香港导演陈可辛执导，陈可辛透露，电影《中国女排》时间跨度40年，讲述几代女排的热血故事', '电影将于2020年大年初一上映，对此，郎平表示：“期待已久”', '据此前报道，电影《中国女排》的准备工作在一年前已启动', '陈可辛导演为筹备该电影，曾多次带团队前往各地考察女排比赛', '该片将重现几代中国女排不断拼搏的故事，力图重现女排明知赢不了也要拼的精神', '今年4月，在中国女排的娘家福建漳州，两代功勋主帅郎平、陈忠和与香港导演陈可辛共同启动了《中国女排》电影的拍摄', '据悉，影片将于2020年大年初一公映']"
64岁男排老帅：上任就带队冲奥运时间太紧 中国队太缺团队精神,沈富麟临危受命再度担任中国男排主教练，帮助队伍形成团队的精神核心和骨干球员。两月后将率领中国男排冲击2020年东京奥运会的资格。,"['新华社北京10月28日电（记者徐征）28日，64岁的老帅沈富麟临危受命，时隔20余年再度挑起了中国男排主教练这一重担', '对于自己所面临的挑战，沈富麟有着清醒的认识，他表示，两个月之后要率领中国男排冲击2020年东京奥运会的资格，时间非常紧迫，而中国男排当前迫切需要解决的问题就是形成团队的精神核心和骨干球员', '沈富麟曾于1990年至1997年担任中国男排主教练，并率队获得过亚运会和亚锦赛的亚军', '此次再次执教中国男排，沈富麟说：“作为从事了50年的排球运动员和教练，我对排球有深厚的感情', '在今天这个特殊的日子里，我想没有什么豪言壮语，因为离奥运会亚洲区资格赛仅仅只有两个月的时间，如何将这些队员凝聚在一起，共同努力去完成最后的冲刺，是我这个教练组必须要考虑的问题', '这需要落实到每一天的训练，对得起每一天，对得起过去的每一分钟，尽心尽职地做好每一件事情，集中精力瞄准目标去努力，这是我想说的感受', '”中国男排于2017年聘请了首位外籍主帅洛萨诺，不过成绩并不理想', '2019年奥运会资格赛世界组比赛中国男排未能获得出线资格，中国男排也同洛萨诺解除了聘任合同', '因此，沈富麟上任之后的首个任务，也是中国男排本年度最重要的一场赛事，就是于2020年1月7日至12日在广东江门举行的东京奥运会亚洲区男排资格赛，中国队将同伊朗、澳大利亚、韩国等强队一同争夺进军东京奥运会的资格', '沈富麟表示，目前中国男排急需解决的问题是打造核心', '他说：“众所周知，排球是集体项目，成功是建立在集体的力量上', '我感觉男排目前比较缺乏团队的精神，在短时间内如何形成团队精神，培养骨干，在比赛和训练中碰到困难和挫折能够起到凝聚力的作用，起到骨干的作用，是当前迫切需要解决的问题', '”沈富麟认为，两个月要解决技术问题很难，因此更需要在“精气神”三个字上下功夫', '他说：“其实榜样就在身边，我要求队员首先要向中国女排学习，学习她们为国争光的责任感，为国争光的担当和精神', '我个人认为，男排具备一定实力，但如何表现出整体实力，需要我们思想的统一', '在短短的两个月时间里，我想在能力上有多大的进步确实很困难，但要有思想，把队员的思想集中到一个点上面，大家能够有这种担当和责任感，在行动上能够体现出来', '在能力上，在原有的基础上进一步细化、加固，可能是我们这次集训的主要目标', '”已经从事了排球工作近50年的沈富麟说，很清楚担任中国男排主教练所面临的困难，但是希望通过自己的努力去克服', '他说：“从70年开始到现在接触排球50年了，我在这段时间里做过方方面面的工作，但始终没有离开过排球', '这是我一贯的思想：敢于挑战']"
朱婷亮相天津女排：很荣幸加盟冠军之师 希望带队打出好成绩,朱婷亮相天津女排，出征仪式全体成员受到热烈欢迎，新赛季球队综合实力提升很大，希望打出好成绩。,"['朱婷亮相天津女排出征仪式新华社天津10月28日电（记者张泽伟 王浩宇）国内女排联赛的“霸主”天津渤海银行女排28日举行新赛季出征仪式，喊出了“冲击联赛第12冠、世俱杯上有突破”的赛季目标', '联赛“11冠王”天津女排上赛季屈居亚军，新赛季加大投入，卷土重来', '在拥有姚迪、李盈莹、王媛媛三名国手的基础上，新赛季又招兵买马，将“世界第一主攻”朱婷、美国女排原主力接应胡克尔招致麾下', '朱婷当天与球队全体成员亮相出征仪式，受到热烈欢迎', '她说：“很荣幸能加入天津女排这支冠军之师，也希望自己在今年的联赛中，展现中国女排的风采，发挥出自己的优势，带领球队打出更好的成绩', '”随着强援的加盟和各方面支持力度的增强，天津女排主教练陈友泉承认，球队在新赛季的综合实力有很大提升', '“新赛季各支球队也都引进了球员，联赛会更加精彩，竞争也会更加激烈', '我们要展现更好的精神面貌和技术水平，向第12个联赛冠军发起冲击', '新赛季，天津女排除了联赛，还将参加世俱杯', '陈友泉说：“世俱杯上都是世界上超一流的队伍，我们会珍惜这次学习、提高、展示的机会，也会争取在世俱杯上取得成绩上的新突破，为天津争光、为祖国添彩', '”天津市体育局局长李克敏也对天津女排的新赛季提出新希望，她说：“作为天津体育的一面旗帜，天津女排创造了辉煌的过去', '希望在新赛季的联赛和世俱杯中继续取得优异成绩，回馈赞助商的支持和球迷的厚爱']"
官宣！沈富麟担任中国男排新帅 中国排协不再续约外教,沈富麟重新担任中国男排主教练。,"['沈富麟担任中国男排主教练，任期至东京奥运会结束', '腾讯体育10月28日讯国家体育总局排球管理中心28日正式宣布，上海排球协会会长沈富麟担任中国男排主教练，任期至东京奥运会结束', '沈富麟出生于1955年，1976年入选中国男排，作为当年中国男排的二传手，与汪嘉伟、胡进等队友一起，在1981年夺得第届世界杯排球赛第五名的历史最好成绩，同时被评选为世界最佳二传手', '当年的世界杯亚洲区资格赛，与队友们一起击败韩国队，夺得唯一一张世界杯入场券', '沈富麟1984年走上教练员岗位，1990年-1997年担任国家男排主教练', '期间，获得1991年亚锦赛季军、1994年亚运会亚军和1995年亚锦赛亚军', '1997年，沈富麟回到上海再次成为上海男排主教练，执教期间培养了沈琼、汤淼、任琦等名将，带领上海男排多次获得国内联赛和全运会冠军', '中国排协发文称：“沈富麟同志在国家男排比较困难、压力较大的时候能够站出来承担男排主教练重任，充分体现了一位老排球工作者的气魄和责任心，是中国男排的一笔宝贵财富', '排球中心将全力支持国家男排和沈富麟同志的备战参赛工作，希望沈富麟同志能够带领中国男排赛出风格、赛出水平，赛出中国男排的精气神，我们有决心也有信心将备战参赛工作做好，努力争取实现既定目标']"
军运会中国八一男排3-1力克韩国 时隔12年再夺冠,2019年第七届世界军人运动会决赛，中国八一男排3-1战胜韩国队。,"['中国八一男排腾讯体育讯 北京时间10月26日晚，2019年第七届世界军人运动会男排比赛在武汉结束', '中国八一男排在决赛中3-1力挫韩国队，时隔12年斩获队史上的军运会第二冠，四局比分为25-23、25-19、19-25和25-21', '韩国和巴基斯坦分获本届军运会的银牌和铜牌', '比赛焦点：1. 在世界军人运动会前六届比赛中，中国八一男排斩获1金2银', '除2007年在印度海得拉巴举行的第四届军运会勇夺冠军外，在2003年和2011年两度摘得银牌', '2. 中国八一男排在上届军运会仅获第5', '本届招募江川、刘力宾、张哲嘉、缪阮彤等知名国手后，时隔8年再度闯入该赛事决赛', '决赛中3-1力克韩国夺魁，是继2007年后、时隔12年斩获队史上的军运会第二冠，夺冠次数比肩意大利和巴西，奖牌数量增至2金2银', '3. 中韩男排上一次在军运会相遇是2011年，当时中国八一在半决赛3-1逆袭对手闯入决赛', '连续两届军运会季军收官后，此次韩国队在决赛不敌中国获得亚军，奖牌数量达到1金2银3铜，仍是该赛事获得奖牌最多的男排球队', '战况回顾：首局韩国凭金成民的强攻和金在辉的探头6-3超出', '江川2号位强打咬至5-7后，袁党毅没能防起对方二传黄承斌的处理球，中国在第一次技术暂停5-8落后', '暂停后中国利用毛天一的强势发球扭转被动局面9-8反超', '两队交替领先相持到15平后，金在辉发球下网，中国在第二次技术暂停16-15占先', '16平后缪阮彤拦网得力、韩铉镇扣球出界，中国19-16超出', '江川和张哲嘉一攻稳定力保3分优势，刘力宾反击打中24-20拿下局点', '韩国连追3分迫近到23-24后，刘力宾4号位强攻一锤定音，中国25-23险胜先下一城', '第二局中国在缪阮彤的发球轮5-1超出，韩国追至5-6后，中国调整主攻用老将仲为君换下袁党毅', '张哲嘉攻拦强势，中国8-5领先进入第一次技术暂停', '韩国队进攻不顺屡遭卡轮，缪阮彤、仲为君和江川相继拦网建功，中国在第二次技术暂停将比分拉开到16-10', '仲为君强攻受挫仅领先3分，江川发扣强势、毛天一拦网成功，中国连获3分19-13领先', '韩国追到18-22后，刘力宾一攻过轮、江川2号位反击打中，中国24-18夺下局点', '对方靠刘力宾的发球失误扳回1分后，缪阮彤近体快得手，中国25-19再下一城，大比分2-0领先', '第三局中国启用杜昊昱和缪阮彤搭档副攻，主攻线由仲为君和刘力宾担纲', '中国一传和一攻屡遭挑战，在第一次技术暂停4-8落后', '中国在韩铉镇的发球轮再遭卡轮6-13落后，相继换回主攻袁党毅和副攻张哲嘉', '金在辉快攻命中，韩国16-9领先进入第二次技术暂停', '10-18落后的中国在毛天一的强发球轮大举反扑，通过发球频频施压，连取6分迫近到16-18', '黄承斌发球建功，韩国稳住阵脚20-16占先', '中国一传屡有闪失在局末没能咬住，许洙奉强攻打中，韩国24-19赢得局点', '刘力宾后攻下网，中国19-25落败被扳回一局', '第四局中国换回先发阵容后发拦得力，在缪阮彤的发球轮3-0超出', '江川进攻强势将比分拉开到6-2，韩国凭金成民的发球追至4-6', '刘力宾4号位强攻下球，中国在第一次技术暂停8-5占先', '刘力宾和江川在反轮连续3次扣球失误，韩国扳成9平', '12平后张哲嘉抓探头、许洙奉扣球下网，中国15-12超出', '张哲嘉短平快命中，中国16-13领先进入第二次技术暂停', '韩国利用江川的失误迫近到18-19，江川拦住许洙奉的反击，中国成功过轮20-18占先', '张哲嘉短平快扣中24-21拿下赛点，韩铉镇一攻不中被江川反击一锤定音，中国25-21获胜，3-1力擒韩国', '技术统计：中国八一男排：接应江川30分（25扣4拦1发），主攻刘力宾15（14扣1拦），副攻张哲嘉12分（10扣2拦），副攻缪阮彤9分（5扣3拦1发），二传毛天一6分（2拦4发），替补主攻仲为君3分（2扣1拦）', '韩国男排：接应许洙奉30分（29扣1拦），主攻金成民11分（9扣1拦1发），副攻安宇宰9分（6扣2拦1发），副攻金在辉6分（4扣2拦），二传黄承斌5分（2扣2拦1发）', '双方首发：中国八一男排：主攻4号袁党毅、8号袁党毅，副攻1号缪阮彤、12号张哲嘉，接应2号江川，二传3号毛天一，自由人5号马晓腾', '韩国男排：主攻7号金成民、17号韩铉镇，副攻11号金在辉、14号安宇宰，接应18号许洙奉，二传5号黄承斌，自由人3号郑成玄', '其它赛果：在季军争夺战中，巴基斯坦男排3-0力克卡塔尔，历史性首获军运会铜牌，三局比分为25-20、25-21和25-16，卡塔尔队错失夺牌契机排名第4', '5、6名决赛伊朗3-0击败巴西名列第5，三局比分为25-20、25-18和25-23，卫冕受挫的巴西落位第6', '法国3-2险胜荷兰获第7，五局比分为25-15、22-25、21-25、25-16和15-5，荷兰排第8', '委内瑞拉3-2力挫加拿大位居第9，五局比分为21-25、30-28、23-25、26-24和15-9，加拿大第10收官', ' （随意也随风）']"
上海女排主帅：联赛水平一年比一年高 今年目标冲击四强,2019-2020赛季女排超级联赛将正式开启。上海女排主帅：联赛水平一年比一年高，今年目标冲击四强。,"['王之腾 资料图11月2日，2019-2020赛季女排超级联赛将正式开启，为了给国家队留出更多的备战东京奥运时间，本届联赛的赛程被大幅压缩，联赛最晚到1月21日结束，总计赛季长度只有两个多月的时间', '10月23日，上海光明优倍女排举行了新赛季出征仪式', '面对更强的对手、更密集的赛程，上海女排主教练王之腾喊出了冲入四强的目标', '由于赛程压缩，赛制也随之改变', '今年的女排超级联赛共有14支球队参加，分成四个小组（A、B组各三支球队，C、D组各四支球队）进行主客场双循环赛', '其中上海位于C组，同组对手有山东、浙江和河北', '各小组前两名进入前八名排位赛，A组前两名和C组的前两名进入E组，B组前两名和D组前两名进入F组', '理论上讲，上海女排被认为是C组实力最强的球队，一旦进入八强，将和A组前两名进入E组', 'A组三支球队分别为北京、福建和八一', '所以，上海女排在四强赛之前，不会碰到天津、江苏和恒大等强队', '分组看似乐观，王之腾却很谨慎：“今年的比赛场次是少了，但密集程度更高，从小组赛开始场场都很关键，因为小组赛的胜场积分要带入之后的阶段', '”对于各支球队来说，这也对持续作战能力提出了高要求，“赛季中没有很长的调整时间，考验球员的体能和打法', '”新赛季的排超联赛强队云集', '中国女排队长朱婷加盟天津队，卫冕冠军北京队拥有多名国手和强援，辽宁、广东等队也都具备不俗的实力', '面对越来越激烈的竞争，王之腾坦言，最主要的还是要做好自己', '“自从我带队到现在，联赛水平一年比一年高，激烈程度和各队的重视也越来越强', '以往，一两个强力外援就能将队伍带到一个比较高的水平，如今更要看本土队员的水平和外援是否能融入全队']"
